transaction_id,credit_card,amount
01943a60-d0a4-497f-92c0-554738e2e2da,3584507841074026,"€26,72"
2971f280-4e83-452d-b49a-fb150b7e43df,3568147421603207,"€31,77"
29a93ba1-2e64-4ed0-8cf6-4f9fdc4c6abe,371731320431282,"€35,28"
22f49bce-5e7a-41f1-a84e-b93fcec55a03,3563136594014503,"€48,60"
bff4f3bd-ac32-4f51-9dd9-5f32f66a0ff7,5602235257456615054,"€65,00"
40991f8f-a88f-479b-8256-9afdee68e1f0,3530685757518163,"€89,84"
995d4f22-fe33-4080-b22a-c6990b22dc5a,5599293820566989,"€54,94"
0da65943-8f3a-4ad6-a45f-e4ae44fc97de,372301780419992,"€72,80"
1b8c22de-e93f-4f73-a74c-baf5a783a410,3568838197880538,"€98,40"
7ce0b931-dee0-4a68-968b-ffeaeaffac69,3589674120310508,"€95,84"
8e3e7975-1c54-461d-ac01-3f30032336e9,3538541062278062,"€86,18"
ee378664-138d-4e67-b6b9-7fc7bb75c244,560225627589279233,"€86,08"
61da0f7f-b1d2-46c6-853b-ac86c4ba4e43,560223725021430075,"€35,39"
a143bddd-b47f-411a-81c9-029822d6f08d,3556963260213013,"€80,08"
919a4e31-8005-42e5-83cd-407db87488ea,3582316064020290,"€27,17"
5e76a73d-e819-4ab6-9aa4-846483aa0b3a,3559435429495978,"€10,00"
572c22d3-d8be-41c5-833d-a1f0959bb9b1,201965900340614,"€99,97"
b34b44cf-3e78-46b2-a6c4-994c0581430d,30001119029272,"€92,86"
229be14f-986a-4ff0-b146-57e4263e3e02,5020725559524331248,"€39,36"
74bbbaeb-d591-447a-bd98-e9e936f00672,3582588669044806,"€56,26"
7a9bfcad-11b2-43b2-bbb5-bf6ce93e18c1,5602233583239437,"€66,91"
91658b9d-522e-46fd-96d6-083494d9df56,3548824010907745,"€96,80"
df7c6725-abfb-4aeb-9cb0-97c2f2c9902c,4936246530127315,"€10,92"
6e4a53e9-0128-4b8b-b0bd-93905c603757,4017951918374,"€24,16"
b8ae28ea-683d-4eb9-b6f8-5aaa89201fd4,56102151080117328,"€49,53"
87170362-c85b-4b99-9c8f-e2f5465a4585,5002350533910879,"€45,11"
ddae1c87-faaf-4f13-ae04-5f0fb16ffc01,5007667222826396,"€58,28"
2cfc40a8-a89d-478a-bf65-112ea202075c,3532929202997335,"€24,04"
703035fa-3cb2-4e06-a9eb-22d0fc607b70,3559292694661077,"€69,17"
909fc05b-e410-4e58-a81e-9b0b0a33f213,5610675244803045,"€2,04"
d9cc0a2c-0c14-4226-9d52-afcc97b3ebb3,3584086318282073,"€63,88"
517d0d72-10bd-42db-8dda-a72baedf6d45,3550657050059836,"€86,62"
2ea4b19e-2b14-4feb-ac14-33e2fdcda820,3531261001340751,"€10,37"
13d9b4ce-8c95-47ca-9c06-2ed993412e64,30265723477017,"€84,96"
975d6782-a066-4ba9-ba14-c2ab3c989460,30385526838684,"€59,06"
9ec8b15e-1e88-4ff0-bd73-41f17602c693,3543977974219252,"€4,54"
71e4e17b-7873-4716-a026-2eb2c2480df6,56022369746011092,"€52,80"
d34ba6b4-6558-4863-99d3-92cb9f532db2,3565629426593247,"€32,92"
515871c9-7234-4b2e-be53-e3beb1411583,4508728046445297,"€20,33"
b3829704-de7e-4ef3-ba04-9e322152b870,5602243617579948,"€52,89"
9a86ece9-5761-4f30-a70f-ee5769d8336b,5410382703149653,"€82,48"
aa4b90fc-dc1a-4699-bcc0-748cdbac30d3,4405971116508503,"€80,84"
e89a9154-d9e4-4160-822d-7919c5ec9db0,3528388378389841,"€70,52"
c67a74b9-5bcf-43a9-a6ee-03553c5ecff6,5602232591799085,"€0,96"
a9f29f30-b1f6-4c09-b854-ce69469c2590,4026995792923453,"€49,28"
407175a1-56a9-4c7c-a919-77a36ff4909c,373404015304473,"€44,60"
0ed78aae-7a5f-42c8-a88f-3db8c630739e,4041370170003,"€23,88"
e6f11d12-9966-49e3-9622-ed4af5fb7041,3536154696063686,"€57,86"
2940e898-b2c1-48af-addf-b48bd841a39a,3585255078101604,"€62,28"
2a293081-f85e-4760-bb6c-f8d680ce2229,3549985483694075,"€70,89"
3c31da52-fc16-496a-8ad3-af63d332b7d0,3543029932198135,"€20,33"
5a0be156-6423-4957-8175-f98a6843dde4,0604529686989339483,"€10,64"
f1de410c-b40b-42ac-97af-2bde517e5248,633110468376480822,"€76,32"
f724fade-39a7-46a3-b0ce-f7c7937692b8,3580520177210936,"€67,86"
117efc8e-b4f9-4b00-b257-f28fca752235,3540834541732080,"€72,05"
646bb2de-ffec-4c21-a2e4-d13ac710f2dd,560224235550948884,"€74,61"
aa78e81a-ce10-4e0a-8bf8-55269c62e0a7,3552997208400740,"€95,25"
b4f8978a-13c5-42d5-b589-a8484b876576,374288072171993,"€82,03"
a62eef29-220c-407c-9b65-0cf7265eb1bd,5020585204559921,"€60,32"
218c1b31-0cdd-43b9-b37a-66bcb1191f41,3562999041948040,"€37,61"
b5124255-5aca-482a-a0ce-2449672dffa9,4026391070975763,"€50,08"
51f49bd1-2170-414b-a68a-b11685efa8e4,3562108633149955,"€81,80"
843d66f5-acff-42a2-99d1-7c278f93ffd6,5594183992517842,"€60,00"
bd662c6c-3d80-44db-a731-3d2581a70198,3549733713221057,"€67,03"
88da07b2-c920-4a61-8faa-f72facf720cb,3544402251540253,"€98,30"
bc942e2f-6a81-4e5e-aeae-1d0cfa90ddc1,5610249918837398408,"€23,97"
8466c90e-306e-4ca1-a13a-9cbbca27bfb6,3564864075101098,"€24,33"
f840595b-0058-47e0-bbb3-e38a4ba7dc3c,3541061029038140,"€5,50"
87efd222-8bb9-46ce-9508-97c07663111c,3564230540092884,"€87,51"
d89b2b68-20ad-415e-8f43-691a0ff3653b,372301451769204,"€67,78"
96463fbc-a90d-4c7f-85ff-923cb86d792d,4405930143589308,"€83,76"
f777aa40-91df-40d4-b25b-32c51ed35e33,67066609903433140,"€55,78"
